id,name,parent_id,slug,image,description
100,Томати,,tomato,http://localhost:8888/fun-dacha/wp-categories/IMG/tomato,Томаты относятся к роду паслёновых . Растение изобилует большим количеством сортов . Распространённый овощ по всему миру
101,Томати високорослі,100,tomato-small,http://localhost:8888/fun-dacha/wp-categories/IMG/tomato-small,"Отличительная черта высокорослых томатов ,высота стебля иногда достигающая 2,50 м ,этим обуславливается большая отдача урожая. Иногда с куста можно снять до 8кг плодов."
141,Томати середньорослі,100,tomato-mid,http://localhost:8888/fun-dacha/wp-categories/IMG/tomato-mid,"Среднерослые томаты собрали в себе лучшие качества высокорослых и низкорослых сортов, обычно выращиваются в два стебля"
161,Томати низькорослі,100,tomato-large,http://localhost:8888/fun-dacha/wp-categories/IMG/tomato-large,"Низкорослые сорта томатов отличаются быстрой отдачей, формируя небольшое количество кистей ,дружным  созреванием."
200,Огірки,,cucumber,http://localhost:8888/fun-dacha/wp-categories/IMG/cucumber,"Наипопулярнейший овощной продукт,  выращиваемый круглогодично.Неприхотлив в выращивании,незаменим в салатах."
220,Капуста ,,cabbage,http://localhost:8888/fun-dacha/wp-categories/IMG/cabbage,"Капуста - царица среди овощей, очень популярный продукт,Занимает  одно из первых мест в мире по выращиванию ."
221,Капуста білокачанна,220,cabbage-white,http://localhost:8888/fun-dacha/wp-categories/IMG/cabbage-white,Разновидность семейства крестоцветных. Насчитывает около 400 сортов разных сроков созревания
222,Капуста цвітна,220,cabbage-color,http://localhost:8888/fun-dacha/wp-categories/IMG/cabbage-color,"Цветная капуста имеет однолетний цикл развития , многообразие сортов удивляет своей необычностью. Обладает высокими вкусовыми качествами."
223,Капуста червонокачанна,220,cabbage-red,http://localhost:8888/fun-dacha/wp-categories/IMG/cabbage-red,"Это вид капусты содержит большое количество макро и микро элементы ,устойчива к заболеваниям,хорошо хранится и очень вкусная в салатах."
224,Різновиди капусти,220,cabbage-other,http://localhost:8888/fun-dacha/wp-categories/IMG/cabbage-other,"Разновидностей существует много и все они разительно отличаются друг от друга ,но объединяет их одно -все они капуста."
240,Редис,,radish,http://localhost:8888/fun-dacha/wp-categories/IMG/radish, Характерен ранними сроками созревания именно редис-  это первые салаты после зимы .
260,Перець ,,pepper,http://localhost:8888/fun-dacha/wp-categories/IMG/pepper,"Любые кухни мира включают перец, как необходимый компонент первых и вторых блюд. Высокое содержание витамина C а так же других полезных микроэлементов делает его незаменимым."
261,Перець солодкий,260,pepper-sweet,http://localhost:8888/fun-dacha/wp-categories/IMG/pepper-sweet,"Сладкие перцы имеют очень привлекательный вид ,мясистые и вкусные ."
271,Перець гіркий,260,pepper-hot,http://localhost:8888/fun-dacha/wp-categories/IMG/pepper-hot,Культурных сортов острого перца около 3000. Хорошо хранится в сушеном виде .
280,Баклажани,,eggplant,http://localhost:8888/fun-dacha/wp-categories/IMG/eggplant,"Это растение относиться к роду паслёновых и выращивается как однолетник, в пищу употребляют слегка недозревшие плоды так они вкуснее."
300,Цибуля,,onion,http://localhost:8888/fun-dacha/wp-categories/IMG/onion,"Разнообразие сортов луков не перестаёт удивлять , Однолетние,двух летние и даже многолетние богатые зеленью обеспечиват витаминами круглый год."
320,Морква,,carrot,http://localhost:8888/fun-dacha/wp-categories/IMG/carrot,"Морковь содержит массу полезных веществ_ это каротин, соли калия, пектины, Витамины  А, В, С, Д. Широко применяется в кулинарии , не заменима в детском питании."
340,Буряк,,beet,http://localhost:8888/fun-dacha/wp-categories/IMG/beet,"Свекла обладает очень высокими вкусовыми и лечебными свойствами, Обогащена йодом,витаминами А и В, улучшает обмен веществ. У некоторых сортов  используют и корнеплоды и надземную часть."
360,Кавуни,,watermelon,http://localhost:8888/fun-dacha/wp-categories/IMG/watermelon,"Растение распространилось из  Африки .Прошло долгий селекционный путь . На сегодня  это- однолетняя стелющаяся трава с рассечёнными листьями , плод  арбуза - сочная ягода  с множеством семян."
380,Дині,,Melons,http://localhost:8888/fun-dacha/wp-categories/IMG/Melons,Традиционная  бахчевая культура для степной зоны. Главное дать растению больше тепла и солнца.  Урожай при соблюдении агротехники возделывания можно получить уже в конце июня.
400,Гарбузи,,pumpkin,http://localhost:8888/fun-dacha/wp-categories/IMG/pumpkin,"По количеству содержания железа тыква, чемпион среди овощей,. Тыквенные семена источник масел богатых микроэлементами. а сочная мякоть используется в диетологии."
420,Кабачки,,marrow-squash,http://localhost:8888/fun-dacha/wp-categories/IMG/marrow-squash,Кабачок- Цукини продукт низкокалорийный и легкоусвояемый организмом поэтому его используют в диетологии и  в детском питании.
440,Патисони,,squash,http://localhost:8888/fun-dacha/wp-categories/IMG/squash,"Плоды патиссонов тонкокорые,мякоть белоснежная, хрустящая и очень плотная, малышами обычно  подходят для консервации, а более крупные плоды используют в кулинарии."
